dataset_name,player_id,match_id,team_id,player_name,player_name_raw,role_name,specific_position,position_status,team_name,n_touches,minute_min,minute_max,match_date
5liga,102,2500791,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,91,0.0,91.0,
5liga,102,2500804,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,81,0.0,87.0,
5liga,102,2500812,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,74,0.0,93.0,
5liga,102,2500822,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,84,0.0,89.0,
5liga,102,2500830,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,106,0.0,94.0,
5liga,102,2500836,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,62,0.0,94.0,
5liga,102,2500846,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,91,6.0,84.0,
5liga,102,2500858,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,55,0.0,91.0,
5liga,102,2500875,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,74,2.0,94.0,
5liga,102,2500878,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,123,0.0,90.0,
5liga,102,2500889,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,75,0.0,90.0,
5liga,102,2500898,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,49,0.0,93.0,
5liga,102,2500907,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,96,0.0,93.0,
5liga,102,2500920,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,84,1.0,92.0,
5liga,102,2500930,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,88,0.0,89.0,
